epoch,train_loss,train_acc,val_loss,val_acc
1,1.468830,0.514711,1.099700,0.722222
2,0.978787,0.677290,0.696167,0.790000
3,0.727415,0.735100,0.507561,0.852222
4,0.607181,0.767221,0.404662,0.861111
5,0.541499,0.786230,0.354028,0.871111
6,0.480511,0.809849,0.274814,0.907778
7,0.405787,0.836982,0.202271,0.926667
8,0.316500,0.872585,0.128167,0.960000
9,0.223802,0.910885,0.079859,0.982222
10,0.151074,0.940715,0.054504,0.986667
11,0.097758,0.961449,0.037016,0.987778
12,0.069972,0.972647,0.030201,0.992222
13,0.049254,0.980866,0.034819,0.990000
14,0.039273,0.984504,0.027370,0.992222
15,0.032918,0.988519,0.029708,0.991111
16,0.023686,0.990966,0.028389,0.991111
17,0.023775,0.991531,0.026940,0.994444
18,0.019447,0.992660,0.026163,0.993333
19,0.019194,0.993068,0.024396,0.994444
20,0.015386,0.994856,0.026430,0.994444
21,0.013538,0.995420,0.024914,0.993333
22,0.011948,0.995546,0.021601,0.995556
23,0.011351,0.996110,0.022063,0.994444
24,0.009282,0.996581,0.025642,0.992222
25,0.008220,0.996957,0.025014,0.992222
26,0.007417,0.997428,0.022336,0.996667
27,0.007105,0.997459,0.023409,0.994444
