epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,296.358,0.89015,2.4127,1.19452,0.64023,0.63351,0.68185,0.53423,0.72891,1.65451,1.06984,0.000368757,0.000368757,0.000368757
2,445.373,0.88863,1.67464,1.17621,0.54732,0.67576,0.65589,0.51017,0.76764,1.58793,1.08729,0.000714701,0.000714701,0.000714701
3,592.109,0.92331,1.46278,1.18854,0.68962,0.66092,0.72089,0.57696,0.71249,1.18031,1.04581,0.0010362,0.0010362,0.0010362
4,738.669,0.89472,1.27225,1.17185,0.63987,0.59816,0.71647,0.56865,0.71298,1.27432,1.02858,0.00100101,0.00100101,0.00100101
5,885.299,0.85312,1.14435,1.13884,0.67143,0.7645,0.78735,0.64218,0.67007,1.0594,0.99639,0.000964348,0.000964348,0.000964348
6,1031.51,0.82569,1.05629,1.12913,0.70206,0.81681,0.84029,0.69084,0.65065,0.86757,0.99122,0.000927685,0.000927685,0.000927685
7,1178.04,0.80471,1.00839,1.10864,0.72066,0.78992,0.83276,0.67307,0.71709,0.94232,1.02252,0.000891022,0.000891022,0.000891022
8,1324.65,0.79279,0.97442,1.11232,0.74443,0.74076,0.8273,0.69318,0.64526,0.88817,0.96821,0.000854359,0.000854359,0.000854359
9,1470.93,0.77577,0.93281,1.09929,0.80908,0.81836,0.88901,0.75191,0.57813,0.74798,0.93571,0.000817696,0.000817696,0.000817696
10,1617.58,0.75895,0.88586,1.09086,0.69973,0.81847,0.85413,0.72797,0.57337,0.86465,0.93468,0.000781033,0.000781033,0.000781033
11,1763.86,0.73168,0.84154,1.08009,0.84121,0.84203,0.90621,0.77806,0.56395,0.63161,0.92307,0.00074437,0.00074437,0.00074437
12,1910.22,0.73165,0.83193,1.07868,0.82833,0.83628,0.90584,0.77114,0.57954,0.63359,0.93641,0.000707707,0.000707707,0.000707707
13,2056.9,0.73083,0.82008,1.07782,0.86733,0.85712,0.92912,0.79647,0.56653,0.55748,0.92926,0.000671044,0.000671044,0.000671044
14,2203.13,0.72026,0.78646,1.08098,0.82679,0.83538,0.90842,0.78317,0.55975,0.61558,0.91213,0.000634381,0.000634381,0.000634381
15,2349.62,0.71208,0.76274,1.07371,0.8324,0.85399,0.9142,0.79334,0.55366,0.57902,0.91753,0.000597718,0.000597718,0.000597718
16,2495.91,0.70167,0.75062,1.06527,0.88012,0.82889,0.92569,0.81021,0.52869,0.55621,0.89534,0.000561055,0.000561055,0.000561055
17,2642.49,0.69496,0.71342,1.06026,0.85413,0.85951,0.92553,0.80459,0.55132,0.54999,0.90824,0.000524392,0.000524392,0.000524392
18,2789.1,0.67769,0.70292,1.05222,0.86552,0.90022,0.94494,0.83209,0.51885,0.47939,0.88785,0.000487729,0.000487729,0.000487729
19,2935.34,0.68159,0.69209,1.05906,0.86549,0.88457,0.94249,0.821,0.53177,0.49371,0.90127,0.000451066,0.000451066,0.000451066
20,3081.75,0.66013,0.64647,1.04184,0.91111,0.88739,0.94638,0.8345,0.51442,0.44487,0.88652,0.000414403,0.000414403,0.000414403
21,3260.31,0.49249,0.4645,0.94077,0.92864,0.86524,0.94472,0.83182,0.51758,0.4591,0.88164,0.00037774,0.00037774,0.00037774
22,3406.2,0.4784,0.44843,0.93177,0.94175,0.87333,0.95451,0.84377,0.49958,0.42982,0.8754,0.000341077,0.000341077,0.000341077
23,3552.57,0.46748,0.40175,0.92385,0.91214,0.87896,0.94688,0.84458,0.49265,0.43745,0.86815,0.000304414,0.000304414,0.000304414
24,3698.33,0.45716,0.39596,0.92194,0.91544,0.90994,0.95794,0.85835,0.4894,0.39973,0.86711,0.000267751,0.000267751,0.000267751
25,3844.2,0.44386,0.37489,0.91029,0.93306,0.91994,0.95948,0.86181,0.47985,0.3705,0.86206,0.000231088,0.000231088,0.000231088
26,3990.46,0.43821,0.34748,0.91143,0.92758,0.88821,0.95996,0.85645,0.48883,0.40487,0.86822,0.000194425,0.000194425,0.000194425
27,4136.19,0.43894,0.33187,0.91303,0.93274,0.91595,0.96311,0.86972,0.46733,0.35802,0.85505,0.000157762,0.000157762,0.000157762
28,4282.16,0.42788,0.31376,0.91295,0.94249,0.91432,0.96623,0.87204,0.46795,0.33954,0.85492,0.000121099,0.000121099,0.000121099
29,4428.11,0.42091,0.29566,0.89996,0.94277,0.92145,0.96722,0.8772,0.4602,0.33242,0.84937,8.4436e-05,8.4436e-05,8.4436e-05
30,4572.06,0.41659,0.28179,0.90132,0.95072,0.9245,0.96838,0.87973,0.45844,0.32537,0.84939,4.7773e-05,4.7773e-05,4.7773e-05
